compare_label,seed,case,outage_k,outage_policy,outage_radius,topology_mode,n_episodes,alignment_drop_frac,return_diff_mean,baseline_return_mean,compare_return_mean,return_pct_vs_baseline,return_better_flag,return_preferred_direction,v_viol_lin_mean_diff_mean,baseline_v_viol_lin_mean_mean,compare_v_viol_lin_mean_mean,v_viol_lin_mean_pct_vs_baseline,v_viol_lin_mean_better_flag,v_viol_lin_mean_preferred_direction,p_loss_mean_diff_mean,baseline_p_loss_mean_mean,compare_p_loss_mean_mean,p_loss_mean_pct_vs_baseline,p_loss_mean_better_flag,p_loss_mean_preferred_direction,n_components_mean_diff_mean,baseline_n_components_mean_mean,compare_n_components_mean_mean,n_components_mean_pct_vs_baseline,n_components_mean_better_flag,n_components_mean_preferred_direction
fedgrid_topo_proto,0,141,6,,,random_reset,20,0.0,0.09363596360868454,-3.1792013609398437,-3.0855653973311608,2.945266844658233,1,1,0.0,0.0,0.0,nan,0,-1,-0.0024384365523094954,0.08279170210780844,0.08035326555549896,-2.9452668446582355,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_topo_proto,0,141,6,,,static,20,0.0,0.09174714657260566,-3.156962106430779,-3.065214959858172,2.906184600243232,1,1,0.0,0.0,0.0,nan,0,-1,-0.0023892486086616155,0.08221255485496819,0.07982330624630656,-2.9061846002432445,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_topo_proto,1,141,6,,,random_reset,20,0.0,0.007939864950938546,-3.2548600694997263,-3.246920204548789,0.2439387494823674,1,1,0.0,0.0,0.0,nan,0,-1,-0.0002067673164306963,0.08476198097655539,0.08455521366012471,-0.2439387494823732,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_topo_proto,1,141,6,,,static,20,0.0,0.0063300956545431445,-3.2324533875785293,-3.2261232919239857,0.1958294488906798,1,1,0.0,0.0,0.0,nan,0,-1,-0.00016484624100374866,0.08417847363485756,0.08401362739385379,-0.1958294488907046,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_topo_proto,2,141,6,,,random_reset,20,0.0,-0.1590898849511036,-3.038642988652548,-3.1977328736036514,-5.23555697543956,0,1,0.0,0.0,0.0,nan,0,-1,0.004142965753934977,0.07913132782949342,0.08327429358342839,5.235556975439546,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_topo_proto,2,141,6,,,static,20,0.0,-0.16159720188851037,-3.0141966860298988,-3.175793887918408,-5.361202957905031,0,1,0.0,0.0,0.0,nan,0,-1,0.004208260465846618,0.07849470536536195,0.08270296583120856,5.361202957905024,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,0,141,6,,,random_reset,20,0.0,-0.22651130937398442,-3.1792013609398437,-3.40571267031383,-7.124786500060586,0,1,0.0,0.0,0.0,nan,0,-1,0.005898732014947506,0.08279170210780844,0.08869043412275593,7.12478650006058,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,0,141,6,,,static,20,0.0,-0.22677704321141925,-3.156962106430779,-3.383739149642198,-7.183394528222909,0,1,0.0,0.0,0.0,nan,0,-1,0.0059056521669640484,0.08221255485496819,0.08811820702193224,7.183394528222916,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,1,141,6,,,random_reset,20,0.0,-0.09625249992935507,-3.2548600694997263,-3.3511125694290818,-2.9571931780203724,0,1,0.0,0.0,0.0,nan,0,-1,0.002506575518993624,0.08476198097655539,0.08726855649554902,2.9571931780203746,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,1,141,6,,,static,20,0.0,-0.09778090563558894,-3.2324533875785293,-3.3302342932141187,-3.0249749620933537,0,1,0.0,0.0,0.0,nan,0,-1,0.002546377750926787,0.08417847363485756,0.08672485138578434,3.024974962093343,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,2,141,6,,,random_reset,20,0.0,-0.23679835820166675,-3.038642988652548,-3.2754413468542145,-7.7928983130286165,0,1,0.0,0.0,0.0,nan,0,-1,0.00616662391150174,0.07913132782949342,0.08529795174099516,7.79289831302862,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,2,141,6,,,static,20,0.0,-0.2402204595387664,-3.0141966860298988,-3.2544171455686643,-7.969634518282513,0,1,0.0,0.0,0.0,nan,0,-1,0.0062557411338220485,0.07849470536536195,0.08475044649918398,7.969634518282521,0,-1,0.0,1.0,1.0,0.0,0,-1
