suite_name,suite_preset,paper_tag,seed,label,group,exp_name,ckpt,ckpt_status_pre,fed_mode,ckpt_status_post,ckpt_bytes,fed_proto_source
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,0,fedgrid_none,baseline,case141_fedgrid_none_seed0,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_none_seed0.pth,ready,none,ready,3023449,
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,0,fedgrid_topo_proto,baseline_plus,case141_fedgrid_topo_proto_seed0,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_topo_proto_seed0.pth,ready,topo_proto,ready,3024145,hybrid
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,1,fedgrid_none,baseline,case141_fedgrid_none_seed1,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_none_seed1.pth,missing,none,ready,3023449,
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,1,fedgrid_topo_proto,baseline_plus,case141_fedgrid_topo_proto_seed1,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_topo_proto_seed1.pth,missing,topo_proto,ready,3024145,hybrid
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,2,fedgrid_none,baseline,case141_fedgrid_none_seed2,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_none_seed2.pth,missing,none,ready,3023449,
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,2,fedgrid_topo_proto,baseline_plus,case141_fedgrid_topo_proto_seed2,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_topo_proto_seed2.pth,missing,topo_proto,ready,3024145,hybrid
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,3,fedgrid_none,baseline,case141_fedgrid_none_seed3,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_none_seed3.pth,missing,none,ready,3023449,
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,3,fedgrid_topo_proto,baseline_plus,case141_fedgrid_topo_proto_seed3,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_topo_proto_seed3.pth,missing,topo_proto,ready,3024145,hybrid
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,4,fedgrid_none,baseline,case141_fedgrid_none_seed4,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_none_seed4.pth,missing,none,ready,3023449,
case141_fedgrid_topoproto_power_rr_20260407,main,main_table,4,fedgrid_topo_proto,baseline_plus,case141_fedgrid_topo_proto_seed4,C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_topoproto_power_rr_20260407\checkpoints\best_case141_fedgrid_topo_proto_seed4.pth,missing,topo_proto,ready,3024145,hybrid
